Board State ,EVAL
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3 0 1,[%eval 0.12]
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,[%eval 0.2]
rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,[%eval 0.1]
rnbqkb1r/pppppp1p/5np1/6B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3, [%eval 0.44]
rnbqkb1r/pppppp1p/5Bp1/8/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,[%eval 0.12]
rnbqkb1r/pppp1p1p/5pp1/8/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4,[%eval 0.34]
rnbqkb1r/pppp1p1p/5pp1/8/3PP3/8/PPP2PPP/RN1QKBNR b KQkq e3 0 4,[%eval -0.09]
rnbqk2r/pppp1pbp/5pp1/8/3PP3/8/PPP2PPP/RN1QKBNR w KQkq - 1 5,[%eval -0.06]
rnbqk2r/pppp1pbp/5pp1/8/3PP3/5N2/PPP2PPP/RN1QKB1R b KQkq - 2 5,[%eval -0.04]
rnbqk2r/pppp1pbp/6p1/5p2/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 6,[%eval 0.38]
rnbqk2r/pppp1pbp/6p1/5P2/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq - 0 6,[%eval 0.23]
rnbqk2r/pppp1pbp/8/5p2/3P4/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 7,[%eval 1.04]
rnbqk2r/pppp1pbp/8/5p2/3P4/2P2N2/PP3PPP/RN1QKB1R b KQkq - 0 7,[%eval 0.41]
r1bqk2r/pppp1pbp/2n5/5p2/3P4/2P2N2/PP3PPP/RN1QKB1R w KQkq - 1 8,[%eval 0.62]
r1bqk2r/pppp1pbp/2n5/5p2/3P4/2PB1N2/PP3PPP/RN1QK2R b KQkq - 2 8,[%eval 0.59]
r1bqk2r/ppp2pbp/2n5/3p1p2/3P4/2PB1N2/PP3PPP/RN1QK2R w KQkq d6 0 9,[%eval 0.85]
r1bqk2r/ppp2pbp/2n5/3p1p2/3P4/2PB1N2/PP3PPP/RN1Q1RK1 b kq - 1 9,[%eval 0.77]
r2qk2r/pppb1pbp/2n5/3p1p2/3P4/2PB1N2/PP3PPP/RN1Q1RK1 w kq - 2 10,[%eval 1.39]
r2qk2r/pppb1pbp/2n5/3p1p2/3P4/2PB1N2/PP3PPP/RN1QR1K1 b kq - 3 10,[%eval 1.5]
r2qk2r/ppp2pbp/2n1b3/3p1p2/3P4/2PB1N2/PP3PPP/RN1QR1K1 w kq - 4 11,[%eval 2.26]
r2qk2r/ppp2pbp/2n1b3/3p1p2/3P4/2PB1N2/PP1N1PPP/R2QR1K1 b kq - 5 11,[%eval 1.15]
r3k2r/ppp1qpbp/2n1b3/3p1p2/3P4/2PB1N2/PP1N1PPP/R2QR1K1 w kq - 6 12,[%eval 2.19]
r3k2r/ppp1qpbp/2n1b3/3p1p2/3P4/1NPB1N2/PP3PPP/R2QR1K1 b kq - 7 12,[%eval 1.99]
2kr3r/ppp1qpbp/2n1b3/3p1p2/3P4/1NPB1N2/PP3PPP/R2QR1K1 w - - 8 13,[%eval 2.17]
2kr3r/ppp1qpbp/2n1b3/2Np1p2/3P4/2PB1N2/PP3PPP/R2QR1K1 b - - 9 13,[%eval 2.09]
1k1r3r/ppp1qpbp/2n1b3/2Np1p2/3P4/2PB1N2/PP3PPP/R2QR1K1 w - - 10 14,[%eval 2.48]
1k1r3r/ppp1qpbp/2n1N3/3p1p2/3P4/2PB1N2/PP3PPP/R2QR1K1 b - - 0 14,[%eval 1.19]
1k1r3r/ppp2pbp/2n1q3/3p1p2/3P4/2PB1N2/PP3PPP/R2QR1K1 w - - 0 15,[%eval 7.09]
1k1r3r/ppp2pbp/2n1R3/3p1p2/3P4/2PB1N2/PP3PPP/R2Q2K1 b - - 0 15, [%eval 7.14]
1k1r3r/ppp3bp/2n1p3/3p1p2/3P4/2PB1N2/PP3PPP/R2Q2K1 w - - 0 16,[%eval 7.36]
1k1r3r/ppp3bp/2n1p3/3p1p2/3P4/2PB1N2/PP3PPP/R3Q1K1 b - - 1 16,[%eval 6.34]
1k5r/ppp3bp/2nrp3/3p1p2/3P4/2PB1N2/PP3PPP/R3Q1K1 w - - 2 17,[%eval 6.35]
1k5r/ppp3bp/2nrp3/3p1pN1/3P4/2PB4/PP3PPP/R3Q1K1 b - - 3 17,[%eval 5.85]
1k5r/ppp3b1/2nrp2p/3p1pN1/3P4/2PB4/PP3PPP/R3Q1K1 w - - 0 18,[%eval 8.7]
1k5r/ppp2Nb1/2nrp2p/3p1p2/3P4/2PB4/PP3PPP/R3Q1K1 b - - 1 18,[%eval 8.5]
1k3r2/ppp2Nb1/2nrp2p/3p1p2/3P4/2PB4/PP3PPP/R3Q1K1 w - - 2 19,[%eval 11.33]
1k3r2/ppp3b1/2nNp2p/3p1p2/3P4/2PB4/PP3PPP/R3Q1K1 b - - 0 19,[%eval 9.89]
